id,title,release_date,vote_average,vote_count,popularity,original_language,genre_ids,budget,revenue,runtime,production_companies,overview
653346,Kingdom of the Planet of the Apes,2024-05-08,6.924,805,5313.091,en,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",160000000,338039904,145,"['20th Century Studios', 'Oddball Entertainment', 'Jason T. Reed Productions']","Several generations in the future following Caesar's reign, apes are now the dominant species and live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all that he has known about the past and to make choices that will define a future for apes and humans alike."
929590,Civil War,2024-04-10,7.075,1285,2418.019,en,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",50000000,114097977,109,"['DNA Films', 'IPR.VC', 'A24']","In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war."
823464,Godzilla x Kong: The New Empire,2024-03-27,7.23,2506,1931.335,en,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",150000000,567156493,115,['Legendary Pictures'],"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own."
719221,Tarot,2024-05-01,6.497,334,1540.535,en,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",8000000,41989392,92,"['Screen Gems', 'Alloy Entertainment', 'Ground Control Entertainment', 'Capstone Pictures']","When a group of friends recklessly violate the sacred rule of Tarot readings, they unknowingly unleash an unspeakable evil trapped within the cursed cards. One by one, they come face to face with fate and end up in a race against death."
614933,Atlas,2024-05-23,6.724,597,1568.697,en,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}]",0,0,120,"['Safehouse Pictures', 'ASAP Entertainment', 'Nuyorican Productions', 'Berlanti Productions']",A brilliant counterterrorism analyst with a deep distrust of AI discovers it might be her only hope when a mission to capture a renegade robot goes awry.
746036,The Fall Guy,2024-04-24,7.289,1023,1094.88,en,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",125000000,158002525,126,"['87North Productions', 'Entertainment 360', 'Universal Pictures']","Fresh off an almost career-ending accident, stuntman Colt Seavers has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job."
940721,Godzilla Minus One,2023-11-03,7.655,1475,991.205,ja,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",15000000,115857413,125,"['TOHO', 'TOHO Studios', 'Robot Communications']","In postwar Japan, Godzilla brings new devastation to an already scorched landscape. With no military intervention or government help in sight, the survivors must join together in the face of despair and fight back against an unrelenting horror."
437342,The First Omen,2024-04-03,6.79,390,900.725,en,"[{'id': 27, 'name': 'Horror'}]",30000000,53689531,119,"['Phantom Four', '20th Century Studios']","When a young American woman is sent to Rome to begin a life of service to the church, she encounters a darkness that causes her to question her own faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
786892,Furiosa: A Mad Max Saga,2024-05-22,7.695,719,929.411,en,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",168000000,116060154,149,"['Warner Bros. Pictures', 'Kennedy Miller Mitchell', 'Domain Entertainment']","As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home."
693134,Dune: Part Two,2024-02-27,8.169,4352,787.686,en,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",190000000,711844359,167,['Legendary Pictures'],"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee."
